kind,name,v0,v1,v2,v3
tip_world_m,thumb4,-0.057442,0.197522,0.838419,
tip_cube_m,thumb4,0.106077,-0.011925,0.063419,
tip_world_m,index4,-0.125513,0.072150,0.852954,
tip_cube_m,index4,0.004254,-0.111843,0.077954,
tip_world_m,middle4,-0.151910,0.066213,0.853390,
tip_cube_m,middle4,-0.022725,-0.109784,0.078390,
tip_world_m,ring4,-0.173722,0.072686,0.852188,
tip_cube_m,ring4,-0.041683,-0.097203,0.077188,
tip_world_m,little4,-0.198456,0.084915,0.848870,
tip_cube_m,little4,-0.061746,-0.078262,0.073870,
joint_rad,shoulder_pan_joint,1.554701,,,
joint_rad,shoulder_lift_joint,-2.124625,,,
joint_rad,elbow_joint,-2.215980,,,
joint_rad,wrist_1_joint,-1.951077,,,
joint_rad,wrist_2_joint,-1.562594,,,
joint_rad,wrist_3_joint,3.199097,,,
joint_rad,index1_joint,-0.000040,,,
joint_rad,little1_joint,0.000034,,,
joint_rad,middle1_joint,-0.000000,,,
joint_rad,ring1_joint,-0.000002,,,
joint_rad,thumb1_joint,-0.044724,,,
joint_rad,index2_joint,0.014162,,,
joint_rad,little2_joint,0.014021,,,
joint_rad,middle2_joint,0.013335,,,
joint_rad,ring2_joint,0.013043,,,
joint_rad,thumb2_joint,0.030321,,,
joint_rad,index3_joint,0.035127,,,
joint_rad,little3_joint,0.034275,,,
joint_rad,middle3_joint,0.036259,,,
joint_rad,ring3_joint,0.036684,,,
joint_rad,thumb3_joint,0.039529,,,
joint_rad,index4_joint,0.000003,,,
joint_rad,little4_joint,0.000000,,,
joint_rad,middle4_joint,-0.000000,,,
joint_rad,ring4_joint,-0.000000,,,
joint_rad,thumb4_joint,-0.000000,,,
force_N,thumb4,0.000000,,,
force_N,index4,0.000000,,,
force_N,middle4,0.000000,,,
force_N,ring4,0.000000,,,
force_N,little4,0.000000,,,
wrist_pos_m,wrist_3_link,-0.157906,0.283965,0.856022,
wrist_quat,wrist_3_link,0.011665,0.029011,0.709511,-0.704000
cube_pos_m,cube_obj,-0.162357,0.177836,0.775000,
handcal_dW_m.thumb1,thumb4,0.005498,0.016345,-0.000053,
handcal_dC_m.thumb1,thumb4,-0.004411,0.000304,-0.016669,
handcal_dW_m.thumb1,index4,-0.000755,-0.000160,0.000067,
handcal_dC_m.thumb1,index4,0.000741,-0.000087,0.000209,
handcal_dW_m.thumb1,middle4,-0.000747,-0.000040,0.000070,
