kind,name,v0,v1,v2,v3
tip_world_m,thumb4,-0.126204,0.222841,0.837305,
tip_cube_m,thumb4,0.026983,0.047660,0.062643,
tip_world_m,index4,-0.207124,0.105605,0.821452,
tip_cube_m,index4,-0.054858,-0.068052,0.041273,
tip_world_m,middle4,-0.230382,0.101705,0.808144,
tip_cube_m,middle4,-0.077269,-0.071507,0.026474,
tip_world_m,ring4,-0.247227,0.109520,0.794952,
tip_cube_m,ring4,-0.093077,-0.063367,0.012237,
tip_world_m,little4,-0.264838,0.123006,0.778094,
tip_cube_m,little4,-0.109308,-0.049537,-0.005695,
joint_rad,shoulder_pan_joint,1.439869,,,
joint_rad,shoulder_lift_joint,-2.310686,,,
joint_rad,elbow_joint,-2.250081,,,
joint_rad,wrist_1_joint,-1.673894,,,
joint_rad,wrist_2_joint,-1.556620,,,
joint_rad,wrist_3_joint,3.769398,,,
joint_rad,index1_joint,0.000166,,,
joint_rad,little1_joint,0.000044,,,
joint_rad,middle1_joint,-0.000007,,,
joint_rad,ring1_joint,-0.000095,,,
joint_rad,thumb1_joint,-0.042182,,,
joint_rad,index2_joint,0.013058,,,
joint_rad,little2_joint,0.010253,,,
joint_rad,middle2_joint,0.010996,,,
joint_rad,ring2_joint,0.010717,,,
joint_rad,thumb2_joint,0.031339,,,
joint_rad,index3_joint,0.033261,,,
joint_rad,little3_joint,0.025625,,,
joint_rad,middle3_joint,0.031035,,,
joint_rad,ring3_joint,0.031286,,,
joint_rad,thumb3_joint,0.042011,,,
joint_rad,index4_joint,0.000001,,,
joint_rad,little4_joint,0.000001,,,
joint_rad,middle4_joint,0.000012,,,
joint_rad,ring4_joint,0.000012,,,
joint_rad,thumb4_joint,0.000003,,,
force_N,thumb4,0.000000,,,
force_N,index4,0.000000,,,
force_N,middle4,0.000000,,,
force_N,ring4,0.000000,,,
force_N,little4,0.000000,,,
wrist_pos_m,wrist_3_link,-0.208645,0.317852,0.791928,
wrist_quat,wrist_3_link,0.173295,0.260195,0.638787,-0.703007
cube_pos_m,cube_obj,-0.156317,0.174539,0.776611,
handcal_dW_m.thumb1,thumb4,0.005583,0.015740,-0.000030,
handcal_dC_m.thumb1,thumb4,-0.004762,-0.000097,-0.016008,
handcal_dW_m.thumb1,index4,-0.000426,-0.000520,0.000049,
handcal_dC_m.thumb1,index4,0.000399,-0.000043,0.000542,
handcal_dW_m.thumb1,middle4,-0.000406,-0.000263,0.000042,
handcal_dC_m.thumb1,middle4,0.000392,-0.000038,0.000283,
handcal_dW_m.thumb1,ring4,-0.000409,-0.000043,0.000037,
handcal_dC_m.thumb1,ring4,0.000407,-0.000033,0.000064,
