kind,name,v0,v1,v2,v3
tip_world_m,thumb4,0.060437,0.198100,0.951375,
tip_cube_m,thumb4,0.220437,0.023100,0.176375,
tip_world_m,index4,-0.001854,0.070426,0.971238,
tip_cube_m,index4,0.158146,-0.104574,0.196238,
tip_world_m,middle4,-0.027956,0.063367,0.972309,
tip_cube_m,middle4,0.132044,-0.111632,0.197309,
tip_world_m,ring4,-0.050048,0.068843,0.971253,
tip_cube_m,ring4,0.109952,-0.106157,0.196253,
tip_world_m,little4,-0.075339,0.079867,0.967938,
tip_cube_m,little4,0.084661,-0.095133,0.192938,
joint_rad,shoulder_pan_joint,1.862771,,,
joint_rad,shoulder_lift_joint,-1.804518,,,
joint_rad,elbow_joint,-2.244936,,,
joint_rad,wrist_1_joint,-2.207112,,,
joint_rad,wrist_2_joint,-1.298426,,,
joint_rad,wrist_3_joint,3.175831,,,
joint_rad,index1_joint,-0.000046,,,
joint_rad,little1_joint,0.000047,,,
joint_rad,middle1_joint,0.000014,,,
joint_rad,ring1_joint,0.000018,,,
joint_rad,thumb1_joint,-0.044461,,,
joint_rad,index2_joint,0.014088,,,
joint_rad,little2_joint,0.014104,,,
joint_rad,middle2_joint,0.013387,,,
joint_rad,ring2_joint,0.013148,,,
joint_rad,thumb2_joint,0.029526,,,
joint_rad,index3_joint,0.035353,,,
joint_rad,little3_joint,0.034788,,,
joint_rad,middle3_joint,0.036524,,,
joint_rad,ring3_joint,0.036945,,,
joint_rad,thumb3_joint,0.038461,,,
joint_rad,index4_joint,0.000004,,,
joint_rad,little4_joint,0.000000,,,
joint_rad,middle4_joint,-0.000000,,,
joint_rad,ring4_joint,-0.000000,,,
joint_rad,thumb4_joint,-0.000000,,,
force_N,thumb4,0.000000,,,
force_N,index4,0.000000,,,
force_N,middle4,0.000000,,,
force_N,ring4,0.000000,,,
force_N,little4,0.000000,,,
wrist_pos_m,wrist_3_link,-0.043468,0.280617,0.967706,
wrist_quat,wrist_3_link,0.021807,0.007639,0.697942,-0.715781
cube_pos_m,cube_obj,-0.160000,0.175000,0.775000,
handcal_dW_m.thumb1,thumb4,0.005606,0.015819,0.000000,
handcal_dC_m.thumb1,thumb4,-0.004868,-0.000510,-0.016053,
handcal_dW_m.thumb1,index4,-0.000346,-0.000499,0.000038,
handcal_dC_m.thumb1,index4,0.000323,-0.000019,0.000515,
handcal_dW_m.thumb1,middle4,-0.000323,-0.000247,0.000019,
handcal_dC_m.thumb1,middle4,0.000312,-0.000006,0.000262,
handcal_dW_m.thumb1,ring4,-0.000329,-0.000026,0.000003,
handcal_dC_m.thumb1,ring4,0.000328,0.000004,0.000041,
handcal_dW_m.thumb1,little4,-0.000357,0.000221,-0.000014,
handcal_dC_m.thumb1,little4,0.000366,0.000016,-0.000205,
handcal_dW_m.thumb2,thumb4,-0.001013,0.004403,-0.005867,
handcal_dC_m.thumb2,thumb4,0.001125,0.005775,-0.004496,
handcal_dW_m.thumb2,index4,-0.000268,0.000299,0.000006,
handcal_dC_m.thumb2,index4,0.000283,-0.000008,-0.000284,
handcal_dW_m.thumb2,middle4,-0.000283,0.000119,0.000011,
handcal_dC_m.thumb2,middle4,0.000289,-0.000008,-0.000104,
handcal_dW_m.thumb2,ring4,-0.000283,-0.000035,0.000016,
handcal_dC_m.thumb2,ring4,0.000281,-0.000009,0.000050,
handcal_dW_m.thumb2,little4,-0.000268,-0.000211,0.000021,
handcal_dC_m.thumb2,little4,0.000257,-0.000010,0.000225,
handcal_dW_m.thumb3,thumb4,0.003421,0.006361,0.003148,
handcal_dC_m.thumb3,thumb4,-0.003056,-0.003376,-0.006430,
handcal_dW_m.thumb3,index4,-0.000161,0.000104,0.000006,
handcal_dC_m.thumb3,index4,0.000166,-0.000005,-0.000096,
handcal_dW_m.thumb3,middle4,-0.000166,0.000023,-0.000004,
handcal_dC_m.thumb3,middle4,0.000166,0.000006,-0.000015,
handcal_dW_m.thumb3,ring4,-0.000168,-0.000042,-0.000011,
handcal_dC_m.thumb3,ring4,0.000165,0.000016,0.000050,
handcal_dW_m.thumb3,little4,-0.000165,-0.000119,-0.000020,
handcal_dC_m.thumb3,little4,0.000159,0.000026,0.000126,
handcal_dW_m.thumb4,thumb4,0.000053,-0.000136,-0.000099,
handcal_dC_m.thumb4,thumb4,-0.000061,0.000101,0.000131,
handcal_dW_m.thumb4,index4,0.000153,0.000025,0.000003,
handcal_dC_m.thumb4,index4,-0.000152,-0.000007,-0.000032,
handcal_dW_m.thumb4,middle4,0.000152,0.000002,-0.000001,
handcal_dC_m.thumb4,middle4,-0.000152,-0.000003,-0.000009,
handcal_dW_m.thumb4,ring4,0.000151,-0.000016,-0.000004,
handcal_dC_m.thumb4,ring4,-0.000152,0.000001,0.000009,
handcal_dW_m.thumb4,little4,0.000152,-0.000037,-0.000008,
handcal_dC_m.thumb4,little4,-0.000153,0.000006,0.000030,
handcal_dW_m.four_j1,thumb4,-0.000060,0.000039,0.000183,
handcal_dC_m.four_j1,thumb4,0.000066,-0.000183,-0.000031,
handcal_dW_m.four_j1,index4,0.006046,-0.001042,-0.000202,
handcal_dC_m.four_j1,index4,-0.006091,0.000102,0.000755,
handcal_dW_m.four_j1,middle4,0.006143,-0.000011,-0.000248,
handcal_dC_m.four_j1,middle4,-0.006141,0.000120,-0.000280,
handcal_dW_m.four_j1,ring4,0.006133,-0.000017,-0.000286,
handcal_dC_m.four_j1,ring4,-0.006131,0.000159,-0.000274,
handcal_dW_m.four_j1,little4,0.006021,0.001014,-0.000330,
handcal_dC_m.four_j1,little4,-0.005972,0.000179,-0.001300,
handcal_dW_m.four_j2,thumb4,0.000036,-0.000103,0.000091,
handcal_dC_m.four_j2,thumb4,-0.000039,-0.000089,0.000104,
handcal_dW_m.four_j2,index4,0.002574,0.014469,-0.001472,
handcal_dC_m.four_j2,index4,-0.001927,0.001057,-0.014606,
handcal_dW_m.four_j2,middle4,0.000036,0.014705,-0.001465,
handcal_dC_m.four_j2,middle4,0.000619,0.001098,-0.014724,
handcal_dW_m.four_j2,ring4,0.000037,0.014711,-0.001464,
handcal_dC_m.four_j2,ring4,0.000619,0.001096,-0.014730,
handcal_dW_m.four_j2,little4,-0.002507,0.014500,-0.001471,
handcal_dC_m.four_j2,little4,0.003149,0.001162,-0.014403,
handcal_dW_m.four_j3,thumb4,0.000033,-0.000036,0.000032,
handcal_dC_m.four_j3,thumb4,-0.000034,-0.000032,0.000035,
