kind,name,v0,v1,v2,v3
tip_world_m,thumb4,-0.057410,0.199041,0.837341,
tip_cube_m,thumb4,0.062341,0.035296,-0.157876,
tip_world_m,index4,-0.124927,0.073662,0.854446,
tip_cube_m,index4,0.079446,-0.093536,-0.097206,
tip_world_m,middle4,-0.151299,0.067636,0.855157,
tip_cube_m,middle4,0.080157,-0.100973,-0.071197,
tip_world_m,ring4,-0.173143,0.074007,0.853989,
tip_cube_m,ring4,0.078989,-0.095786,-0.049042,
tip_world_m,little4,-0.197942,0.086088,0.850622,
tip_cube_m,little4,0.075622,-0.085059,-0.023629,
joint_rad,shoulder_pan_joint,1.553091,,,
joint_rad,shoulder_lift_joint,-2.131624,,,
joint_rad,elbow_joint,-2.223846,,,
joint_rad,wrist_1_joint,-1.918895,,,
joint_rad,wrist_2_joint,-1.567920,,,
joint_rad,wrist_3_joint,3.192690,,,
joint_rad,index1_joint,-0.000043,,,
joint_rad,little1_joint,0.000032,,,
joint_rad,middle1_joint,-0.000001,,,
joint_rad,ring1_joint,-0.000003,,,
joint_rad,thumb1_joint,-0.044380,,,
joint_rad,index2_joint,0.014107,,,
joint_rad,little2_joint,0.014063,,,
joint_rad,middle2_joint,0.013314,,,
joint_rad,ring2_joint,0.013038,,,
joint_rad,thumb2_joint,0.029785,,,
joint_rad,index3_joint,0.035178,,,
joint_rad,little3_joint,0.034592,,,
joint_rad,middle3_joint,0.036411,,,
joint_rad,ring3_joint,0.036895,,,
joint_rad,thumb3_joint,0.038819,,,
joint_rad,index4_joint,0.000004,,,
joint_rad,little4_joint,0.000000,,,
joint_rad,middle4_joint,-0.000000,,,
joint_rad,ring4_joint,-0.000000,,,
joint_rad,thumb4_joint,-0.000000,,,
force_N,thumb4,0.000000,,,
force_N,index4,0.000000,,,
force_N,middle4,0.000000,,,
force_N,ring4,0.000000,,,
force_N,little4,0.000000,,,
wrist_pos_m,wrist_3_link,-0.158099,0.285378,0.854096,
wrist_quat,wrist_3_link,0.010845,0.025233,0.703529,-0.710135
cube_pos_m,cube_obj,-0.216957,0.172295,0.775000,
handcal_dW_m.thumb1,thumb4,0.005580,0.016044,0.000011,
handcal_dC_m.thumb1,thumb4,-0.004607,-0.000060,-0.016350,
handcal_dW_m.thumb1,index4,-0.000493,-0.000252,0.000110,
handcal_dC_m.thumb1,index4,0.000475,-0.000117,0.000282,
handcal_dW_m.thumb1,middle4,-0.000476,-0.000054,0.000099,
handcal_dC_m.thumb1,middle4,0.000470,-0.000108,0.000084,
handcal_dW_m.thumb1,ring4,-0.000480,0.000106,0.000088,
handcal_dC_m.thumb1,ring4,0.000483,-0.000099,-0.000076,
handcal_dW_m.thumb1,little4,-0.000500,0.000278,0.000074,
handcal_dC_m.thumb1,little4,0.000514,-0.000087,-0.000247,
handcal_dW_m.thumb2,thumb4,-0.000788,0.003889,-0.005836,
handcal_dC_m.thumb2,thumb4,0.001147,0.005780,-0.003884,
