kind,name,v0,v1,v2,v3
joint_rad,shoulder_pan_joint,1.563628,,,
joint_rad,shoulder_lift_joint,-1.747461,,,
joint_rad,elbow_joint,-2.094381,,,
joint_rad,wrist_1_joint,-2.453547,,,
joint_rad,wrist_2_joint,-1.563472,,,
joint_rad,wrist_3_joint,3.294628,,,
joint_rad,index1_joint,-0.000005,,,
joint_rad,little1_joint,0.000065,,,
joint_rad,middle1_joint,0.000026,,,
joint_rad,ring1_joint,0.000016,,,
joint_rad,thumb1_joint,-0.044955,,,
joint_rad,index2_joint,0.014211,,,
joint_rad,little2_joint,0.013759,,,
joint_rad,middle2_joint,0.013272,,,
joint_rad,ring2_joint,0.013029,,,
joint_rad,thumb2_joint,0.030984,,,
joint_rad,index3_joint,0.035225,,,
joint_rad,little3_joint,0.033470,,,
joint_rad,middle3_joint,0.035851,,,
joint_rad,ring3_joint,0.036255,,,
joint_rad,thumb3_joint,0.040206,,,
joint_rad,index4_joint,0.000004,,,
joint_rad,little4_joint,0.000000,,,
joint_rad,middle4_joint,-0.000000,,,
joint_rad,ring4_joint,-0.000000,,,
joint_rad,thumb4_joint,-0.000000,,,
tip_world_m,thumb4,-0.051310,0.188942,1.017152,
tip_world_m,index4,-0.119326,0.062980,1.024969,
tip_world_m,middle4,-0.145593,0.056812,1.022895,
tip_world_m,ring4,-0.167247,0.063097,1.019624,
tip_world_m,little4,-0.191669,0.075119,1.014002,
force_N,thumb4,0.000000,,,
force_N,index4,0.000000,,,
force_N,middle4,0.000000,,,
force_N,ring4,0.000000,,,
force_N,little4,0.000000,,,
cube_pos_m,cube_obj,-0.160000,0.175000,0.775000,
cube_quat_wxyz,cube_obj,1.000000,0.000000,-0.000000,0.000000
wrist_pos_m,wrist_3_link,-0.153742,0.274496,1.025240,
tcp_pos_m,tcp,-0.143136,0.165304,0.944838,
