kind,name,v0,v1,v2,v3
joint_rad,shoulder_pan_joint,1.589793,,,
joint_rad,shoulder_lift_joint,-1.727319,,,
joint_rad,elbow_joint,-2.096865,,,
joint_rad,wrist_1_joint,-2.440189,,,
joint_rad,wrist_2_joint,-1.574298,,,
joint_rad,wrist_3_joint,3.307636,,,
joint_rad,index1_joint,0.000001,,,
joint_rad,little1_joint,0.000067,,,
joint_rad,middle1_joint,0.000028,,,
joint_rad,ring1_joint,0.000015,,,
joint_rad,thumb1_joint,-0.044908,,,
joint_rad,index2_joint,0.014201,,,
joint_rad,little2_joint,0.013713,,,
joint_rad,middle2_joint,0.013239,,,
joint_rad,ring2_joint,0.013004,,,
joint_rad,thumb2_joint,0.030573,,,
joint_rad,index3_joint,0.035535,,,
joint_rad,little3_joint,0.033725,,,
joint_rad,middle3_joint,0.036124,,,
joint_rad,ring3_joint,0.036557,,,
joint_rad,thumb3_joint,0.039625,,,
joint_rad,index4_joint,0.000004,,,
joint_rad,little4_joint,0.000000,,,
joint_rad,middle4_joint,-0.000000,,,
joint_rad,ring4_joint,-0.000000,,,
joint_rad,thumb4_joint,-0.000000,,,
tip_world_m,thumb4,-0.034663,0.190156,1.030981,
tip_world_m,index4,-0.098108,0.062027,1.041847,
tip_world_m,middle4,-0.124097,0.054825,1.039639,
tip_world_m,ring4,-0.145921,0.060196,1.035900,
tip_world_m,little4,-0.170690,0.071123,1.029601,
force_N,thumb4,0.000000,,,
force_N,index4,0.000000,,,
force_N,middle4,0.000000,,,
force_N,ring4,0.000000,,,
force_N,little4,0.000000,,,
cube_pos_m,cube_obj,-0.160000,0.175000,0.775000,
cube_quat_wxyz,cube_obj,1.000000,0.000000,-0.000000,0.000000
wrist_pos_m,wrist_3_link,-0.140287,0.272025,1.035094,
tcp_pos_m,tcp,-0.124565,0.160886,0.958276,
